date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity
2022-11-30,2022,11,30,chokepoint6,Strait of Hormuz,13,14,3,2,64,32,96,308963,305107,28800,0,3720371,642871,4363243
2022-12-01,2022,12,1,chokepoint6,Strait of Hormuz,12,16,3,3,46,34,80,288831,412263,18873,3443,2358531,723412,3081943
2022-12-02,2022,12,2,chokepoint6,Strait of Hormuz,10,14,5,3,55,32,87,356727,228207,19362,10451,2531963,614748,3146711
2022-12-03,2022,12,3,chokepoint6,Strait of Hormuz,11,11,2,4,58,28,86,433002,428088,8842,8476,2477406,878411,3355817
2022-12-04,2022,12,4,chokepoint6,Strait of Hormuz,12,13,5,1,58,31,89,269064,646094,7477,0,3394050,922637,4316687
2022-12-05,2022,12,5,chokepoint6,Strait of Hormuz,18,13,3,1,54,35,89,361331,479794,10886,1679,2954477,853691,3808168
2022-12-06,2022,12,6,chokepoint6,Strait of Hormuz,17,17,3,2,37,39,76,408775,892901,16016,3080,1200787,1320774,2521561
2022-12-07,2022,12,7,chokepoint6,Strait of Hormuz,8,22,3,3,58,36,94,296345,768613,72056,8870,3868825,1145885,5014711
2022-12-08,2022,12,8,chokepoint6,Strait of Hormuz,9,9,5,3,43,26,69,231883,292571,29509,3052,2537838,557016,3094855
2022-12-09,2022,12,9,chokepoint6,Strait of Hormuz,8,15,4,2,35,29,64,265019,646456,18521,3052,1709488,933050,2642538
2022-12-10,2022,12,10,chokepoint6,Strait of Hormuz,16,16,3,1,51,36,87,334456,518479,11461,0,2541642,864397,3406039
2022-12-11,2022,12,11,chokepoint6,Strait of Hormuz,12,16,7,2,52,37,89,315419,601229,22612,5888,2805286,945150,3750437
2022-12-12,2022,12,12,chokepoint6,Strait of Hormuz,14,18,4,4,51,40,91,573148,381798,4008,15091,3490489,974046,4464536
2022-12-13,2022,12,13,chokepoint6,Strait of Hormuz,13,15,1,2,57,31,88,286264,488896,0,3336,1935008,778497,2713505
2022-12-14,2022,12,14,chokepoint6,Strait of Hormuz,12,17,3,4,47,36,83,196121,501688,13270,11516,4042671,722596,4765267
2022-12-15,2022,12,15,chokepoint6,Strait of Hormuz,18,10,7,3,63,38,101,340891,123660,51013,4713,4000474,520279,4520754
2022-12-16,2022,12,16,chokepoint6,Strait of Hormuz,15,15,2,1,52,33,85,593297,474746,23097,847,3385732,1091989,4477721
2022-12-17,2022,12,17,chokepoint6,Strait of Hormuz,12,19,5,1,62,37,99,293792,721372,17955,0,3215524,1033120,4248645
2022-12-18,2022,12,18,chokepoint6,Strait of Hormuz,12,25,2,2,69,41,110,253935,1142690,24770,6294,2488687,1427691,3916378
2022-12-19,2022,12,19,chokepoint6,Strait of Hormuz,14,21,1,1,40,37,77,550097,866080,3093,2315,1729683,1421587,3151270
2022-12-20,2022,12,20,chokepoint6,Strait of Hormuz,11,13,4,1,43,29,72,447268,472423,29023,5707,2853771,954421,3808192
2022-12-21,2022,12,21,chokepoint6,Strait of Hormuz,14,15,3,2,57,34,91,357716,432373,41851,0,2653625,831941,3485567
2022-12-22,2022,12,22,chokepoint6,Strait of Hormuz,11,12,6,4,75,33,108,329878,329300,46148,15408,2608429,720736,3329166
2022-12-23,2022,12,23,chokepoint6,Strait of Hormuz,15,8,6,3,59,32,91,624040,223551,27676,15674,2912988,890943,3803932
2022-12-24,2022,12,24,chokepoint6,Strait of Hormuz,12,14,5,0,39,31,70,436530,597614,10474,0,1300233,1044619,2344853
2022-12-25,2022,12,25,chokepoint6,Strait of Hormuz,10,12,4,1,45,27,72,424648,462475,13789,2528,2598093,903441,3501534
2022-12-26,2022,12,26,chokepoint6,Strait of Hormuz,15,12,2,1,49,30,79,441403,274570,9104,0,2374534,725078,3099612
2022-12-27,2022,12,27,chokepoint6,Strait of Hormuz,15,11,4,2,39,32,71,405809,445900,8247,2283,646929,862241,1509170
2022-12-28,2022,12,28,chokepoint6,Strait of Hormuz,17,9,4,0,59,30,89,552986,358989,45311,0,3122498,957287,4079786
2022-12-29,2022,12,29,chokepoint6,Strait of Hormuz,13,11,5,1,46,30,76,366394,335553,52584,4912,2453419,759445,3212864
2022-12-30,2022,12,30,chokepoint6,Strait of Hormuz,8,8,0,1,36,17,53,469027,223222,0,4309,1246297,696558,1942855
2022-12-31,2022,12,31,chokepoint6,Strait of Hormuz,6,19,2,2,37,29,66,254418,516194,30457,0,2240372,801069,3041442
2023-01-01,2023,1,1,chokepoint6,Strait of Hormuz,12,17,2,7,50,38,88,413260,668498,31512,7210,3141243,1120481,4261725
2023-01-02,2023,1,2,chokepoint6,Strait of Hormuz,14,18,5,2,60,39,99,305658,805257,10905,4493,2938466,1126314,4064781
2023-01-03,2023,1,3,chokepoint6,Strait of Hormuz,19,16,3,1,53,39,92,509521,563894,4964,8901,2760422,1087282,3847704
2023-01-04,2023,1,4,chokepoint6,Strait of Hormuz,20,14,2,2,58,38,96,609279,315643,19585,11882,4063870,956390,5020261
2023-01-05,2023,1,5,chokepoint6,Strait of Hormuz,20,15,2,3,51,40,91,533918,778162,1599,5707,2022234,1319387,3341621
2023-01-06,2023,1,6,chokepoint6,Strait of Hormuz,8,11,2,3,46,24,70,305189,452816,20879,6492,2337082,785378,3122461
2023-01-07,2023,1,7,chokepoint6,Strait of Hormuz,15,12,3,3,62,33,95,442533,287251,21186,6492,3346647,757463,4104111
2023-01-08,2023,1,8,chokepoint6,Strait of Hormuz,13,16,4,2,51,35,86,381545,459982,10299,0,2861132,851826,3712959
2023-01-09,2023,1,9,chokepoint6,Strait of Hormuz,14,13,5,2,55,34,89,350128,569684,30488,3901,1708179,954203,2662382
2023-01-10,2023,1,10,chokepoint6,Strait of Hormuz,13,19,7,1,49,40,89,401856,678006,38630,2627,1696284,1121121,2817405
2023-01-11,2023,1,11,chokepoint6,Strait of Hormuz,15,10,5,2,37,32,69,379307,340644,11734,12194,1883288,743881,2627169
2023-01-12,2023,1,12,chokepoint6,Strait of Hormuz,15,16,2,1,46,34,80,423357,187193,5021,6492,1958713,622065,2580778
2023-01-13,2023,1,13,chokepoint6,Strait of Hormuz,13,14,1,0,40,28,68,285813,287570,4352,0,2244655,577735,2822390
2023-01-14,2023,1,14,chokepoint6,Strait of Hormuz,13,15,5,3,55,36,91,385509,449607,9052,5293,4633693,849462,5483156
2023-01-15,2023,1,15,chokepoint6,Strait of Hormuz,15,12,6,0,31,33,64,453771,510517,31420,0,1873256,995709,2868965
2023-01-16,2023,1,16,chokepoint6,Strait of Hormuz,12,13,3,1,49,29,78,318256,339838,24513,0,3240184,682608,3922792
2023-01-17,2023,1,17,chokepoint6,Strait of Hormuz,18,9,3,2,53,32,85,502497,154221,11390,2984,3070881,671094,3741976
2023-01-18,2023,1,18,chokepoint6,Strait of Hormuz,14,22,0,1,58,37,95,287362,751041,0,3339,2907996,1041743,3949740
2023-01-19,2023,1,19,chokepoint6,Strait of Hormuz,14,20,4,5,55,43,98,538656,550219,19976,4289,2048739,1113141,3161880
2023-01-20,2023,1,20,chokepoint6,Strait of Hormuz,12,18,2,0,57,32,89,420805,639967,1526,0,2982778,1062298,4045077
2023-01-21,2023,1,21,chokepoint6,Strait of Hormuz,9,19,4,4,54,36,90,186374,688523,39388,0,2749758,914287,3664046
2023-01-22,2023,1,22,chokepoint6,Strait of Hormuz,16,19,4,2,64,41,105,390312,775887,33609,5052,3662741,1204862,4867604
2023-01-23,2023,1,23,chokepoint6,Strait of Hormuz,15,14,3,3,55,35,90,338044,627032,12189,10343,2710989,987610,3698600
2023-01-24,2023,1,24,chokepoint6,Strait of Hormuz,23,12,6,4,50,45,95,802850,437617,16459,4914,2257143,1261842,3518985
2023-01-25,2023,1,25,chokepoint6,Strait of Hormuz,25,18,4,1,72,48,120,519914,753794,34003,3070,4441824,1310783,5752607
2023-01-26,2023,1,26,chokepoint6,Strait of Hormuz,16,16,1,1,60,34,94,519846,653322,1217,3706,3022280,1178092,4200373
2023-01-27,2023,1,27,chokepoint6,Strait of Hormuz,15,14,3,1,57,33,90,603152,241204,9762,0,1781374,854119,2635494
2023-01-28,2023,1,28,chokepoint6,Strait of Hormuz,18,16,2,1,61,37,98,510738,389245,3426,0,2938002,903411,3841414
2023-01-29,2023,1,29,chokepoint6,Strait of Hormuz,12,15,2,2,54,31,85,540524,641730,1534,5485,2742204,1189274,3931479
2023-01-30,2023,1,30,chokepoint6,Strait of Hormuz,10,15,2,3,52,30,82,343998,418166,16442,0,2542514,778607,3321122
2023-01-31,2023,1,31,chokepoint6,Strait of Hormuz,21,18,4,0,57,43,100,687790,528749,8739,0,2376106,1225278,3601385
2023-02-01,2023,2,1,chokepoint6,Strait of Hormuz,16,9,5,0,61,30,91,446101,449148,6057,0,2663972,901307,3565279
2023-02-02,2023,2,2,chokepoint6,Strait of Hormuz,10,6,1,5,48,22,70,285587,168569,1217,6827,2601079,462201,3063280
2023-02-03,2023,2,3,chokepoint6,Strait of Hormuz,6,28,6,1,63,41,104,202566,659139,40572,0,3126421,902278,4028700
2023-02-04,2023,2,4,chokepoint6,Strait of Hormuz,11,20,2,1,63,34,97,386353,732935,1852,0,3034277,1121141,4155419
2023-02-05,2023,2,5,chokepoint6,Strait of Hormuz,9,12,5,1,46,27,73,588224,457877,44898,0,2560133,1091000,3651134
2023-02-06,2023,2,6,chokepoint6,Strait of Hormuz,14,20,3,1,56,38,94,459711,601399,10522,8270,3342370,1079903,4422273
2023-02-07,2023,2,7,chokepoint6,Strait of Hormuz,17,19,9,4,68,49,117,511137,639708,48421,8817,2561128,1208084,3769213
2023-02-08,2023,2,8,chokepoint6,Strait of Hormuz,19,10,4,2,56,35,91,441247,553421,35680,0,3645018,1030349,4675367
2023-02-09,2023,2,9,chokepoint6,Strait of Hormuz,17,17,3,2,52,39,91,529827,948424,15117,9397,3132923,1502766,4635689
2023-02-10,2023,2,10,chokepoint6,Strait of Hormuz,11,14,3,1,41,29,70,313734,657251,48435,0,1870571,1019420,2889992
2023-02-11,2023,2,11,chokepoint6,Strait of Hormuz,6,9,3,1,39,19,58,135140,291708,24049,0,1535288,450898,1986187
2023-02-12,2023,2,12,chokepoint6,Strait of Hormuz,15,24,4,3,71,46,117,395954,539291,33863,12800,3181979,981908,4163888
2023-02-13,2023,2,13,chokepoint6,Strait of Hormuz,17,11,7,4,75,39,114,491997,233681,50948,5785,3507701,782411,4290113
2023-02-14,2023,2,14,chokepoint6,Strait of Hormuz,9,10,3,1,45,23,68,315108,295630,13039,6641,1727408,630419,2357828
2023-02-15,2023,2,15,chokepoint6,Strait of Hormuz,16,7,3,1,33,27,60,434666,109279,1106,1602,1396110,546655,1942765
2023-02-16,2023,2,16,chokepoint6,Strait of Hormuz,30,26,3,2,87,61,148,693613,854865,5154,0,4326647,1553634,5880281
2023-02-17,2023,2,17,chokepoint6,Strait of Hormuz,20,18,7,3,68,48,116,754141,369629,77682,0,3672566,1201453,4874019
2023-02-18,2023,2,18,chokepoint6,Strait of Hormuz,12,17,4,1,50,34,84,271562,337864,12575,0,2853705,622002,3475708
2023-02-19,2023,2,19,chokepoint6,Strait of Hormuz,15,16,3,1,47,35,82,390883,801718,14425,3358,1982634,1210385,3193019
2023-02-20,2023,2,20,chokepoint6,Strait of Hormuz,21,18,5,3,61,47,108,482302,615894,64103,0,2263823,1162300,3426123
2023-02-21,2023,2,21,chokepoint6,Strait of Hormuz,21,17,10,5,49,53,102,542492,559794,80338,16117,1761053,1198742,2959796
2023-02-22,2023,2,22,chokepoint6,Strait of Hormuz,14,20,7,4,81,45,126,438387,639879,42135,7608,3990638,1128010,5118649
2023-02-23,2023,2,23,chokepoint6,Strait of Hormuz,16,14,3,4,54,37,91,553246,509338,3447,18191,3165736,1084223,4249960
2023-02-24,2023,2,24,chokepoint6,Strait of Hormuz,19,20,7,2,86,48,134,508458,932971,22419,11718,4736267,1475566,6211834
2023-02-25,2023,2,25,chokepoint6,Strait of Hormuz,22,24,6,3,62,55,117,676014,1155746,13496,8443,2705278,1853700,4558979
2023-02-26,2023,2,26,chokepoint6,Strait of Hormuz,19,23,7,4,78,53,131,604171,1033691,15847,12885,4430079,1666595,6096674
2023-02-27,2023,2,27,chokepoint6,Strait of Hormuz,15,11,1,2,64,29,93,362922,452110,2078,4938,2999219,822050,3821270
2023-02-28,2023,2,28,chokepoint6,Strait of Hormuz,24,15,5,5,56,49,105,716429,543976,17230,4946,3547560,1282583,4830143
2023-03-01,2023,3,1,chokepoint6,Strait of Hormuz,20,13,5,2,59,40,99,465385,508573,41935,4003,2705716,1019898,3725615
2023-03-02,2023,3,2,chokepoint6,Strait of Hormuz,14,16,3,2,54,35,89,337610,639760,10405,0,2391253,987776,3379029
2023-03-03,2023,3,3,chokepoint6,Strait of Hormuz,17,12,4,3,53,36,89,478051,598811,13333,4129,3551143,1094325,4645468
2023-03-04,2023,3,4,chokepoint6,Strait of Hormuz,12,9,5,3,43,29,72,410146,404391,44129,4129,2547650,862796,3410447
2023-03-05,2023,3,5,chokepoint6,Strait of Hormuz,11,11,1,4,74,27,101,429266,390769,21933,0,4123895,841968,4965864
2023-03-06,2023,3,6,chokepoint6,Strait of Hormuz,21,29,4,5,67,59,126,718449,976614,31344,5543,2275103,1731951,4007055
2023-03-07,2023,3,7,chokepoint6,Strait of Hormuz,19,24,6,4,78,53,131,540066,861073,10840,6291,3905339,1418272,5323611
2023-03-08,2023,3,8,chokepoint6,Strait of Hormuz,23,19,4,4,71,50,121,956551,565321,1114,3825,3226421,1526812,4753233
2023-03-09,2023,3,9,chokepoint6,Strait of Hormuz,25,26,4,3,65,58,123,691685,709159,3417,7662,2622357,1411925,4034282
2023-03-10,2023,3,10,chokepoint6,Strait of Hormuz,22,23,3,0,65,48,113,534112,676222,4957,0,2284890,1215292,3500183
2023-03-11,2023,3,11,chokepoint6,Strait of Hormuz,24,18,2,4,85,48,133,440719,439275,1217,13327,4141955,894540,5036495
2023-03-12,2023,3,12,chokepoint6,Strait of Hormuz,15,22,4,2,71,43,114,430394,481327,14636,2431,3749260,928790,4678050
2023-03-13,2023,3,13,chokepoint6,Strait of Hormuz,22,13,5,2,61,42,103,708900,336354,19975,2577,3207795,1067808,4275603
2023-03-14,2023,3,14,chokepoint6,Strait of Hormuz,18,13,7,1,69,39,108,362229,522590,13464,2933,3748865,901218,4650083
2023-03-15,2023,3,15,chokepoint6,Strait of Hormuz,10,11,3,2,51,26,77,307689,433769,2204,5709,2699861,749373,3449235
2023-03-16,2023,3,16,chokepoint6,Strait of Hormuz,20,16,3,4,55,43,98,442639,662108,4077,11486,3073175,1120312,4193488
2023-03-17,2023,3,17,chokepoint6,Strait of Hormuz,18,20,4,0,56,42,98,662996,819383,6948,0,1664847,1489327,3154175
2023-03-18,2023,3,18,chokepoint6,Strait of Hormuz,15,18,3,3,65,39,104,392594,352394,12029,11522,3270623,768540,4039164
2023-03-19,2023,3,19,chokepoint6,Strait of Hormuz,22,15,6,1,68,44,112,546210,413335,26190,0,3705906,985736,4691643
2023-03-20,2023,3,20,chokepoint6,Strait of Hormuz,16,19,7,2,55,44,99,377141,593310,72420,7573,2971180,1050445,4021626
2023-03-21,2023,3,21,chokepoint6,Strait of Hormuz,16,11,6,0,44,33,77,733365,345333,40955,0,1528713,1119653,2648366
2023-03-22,2023,3,22,chokepoint6,Strait of Hormuz,12,11,6,5,37,34,71,399038,558834,25710,11644,1996398,995227,2991626
2023-03-23,2023,3,23,chokepoint6,Strait of Hormuz,13,9,2,1,42,25,67,266990,349127,26665,0,2603874,642782,3246656
2023-03-24,2023,3,24,chokepoint6,Strait of Hormuz,8,8,2,0,31,18,49,335305,354930,26441,0,2271504,716677,2988181
2023-03-25,2023,3,25,chokepoint6,Strait of Hormuz,12,14,5,1,49,32,81,301857,405878,50912,8728,1641434,767377,2408811
2023-03-26,2023,3,26,chokepoint6,Strait of Hormuz,13,15,5,0,58,33,91,409323,893267,50043,0,3265841,1352633,4618475
2023-03-27,2023,3,27,chokepoint6,Strait of Hormuz,9,5,6,1,43,21,64,166783,117373,45134,4087,2200155,333378,2533533
2023-03-28,2023,3,28,chokepoint6,Strait of Hormuz,11,8,1,3,41,23,64,280545,270643,3846,10645,2321167,565681,2886849
2023-03-29,2023,3,29,chokepoint6,Strait of Hormuz,15,18,4,4,43,41,84,467222,518594,36044,4364,2325626,1026225,3351851
2023-03-30,2023,3,30,chokepoint6,Strait of Hormuz,20,24,4,1,64,49,113,379890,774937,31698,0,3119592,1186526,4306118
2023-03-31,2023,3,31,chokepoint6,Strait of Hormuz,14,27,6,3,76,50,126,489236,1088446,14817,0,3808337,1592499,5400836
2023-04-01,2023,4,1,chokepoint6,Strait of Hormuz,24,21,8,4,66,57,123,615091,885366,19116,0,2770109,1519573,4289683
2023-04-02,2023,4,2,chokepoint6,Strait of Hormuz,10,9,2,1,55,22,77,198528,357686,3881,0,3485074,560096,4045170
2023-04-03,2023,4,3,chokepoint6,Strait of Hormuz,17,6,3,2,46,28,74,567033,297325,18792,9230,2264006,892382,3156388
2023-04-04,2023,4,4,chokepoint6,Strait of Hormuz,13,10,7,5,44,35,79,317241,259236,22188,9391,2227354,608057,2835411
2023-04-05,2023,4,5,chokepoint6,Strait of Hormuz,16,15,4,1,57,36,93,469809,168778,23094,0,3119716,661681,3781398
2023-04-06,2023,4,6,chokepoint6,Strait of Hormuz,18,27,6,2,75,53,128,353061,633060,29047,0,4378481,1015168,5393650
2023-04-07,2023,4,7,chokepoint6,Strait of Hormuz,18,14,6,3,54,41,95,529961,502287,13300,3358,2782762,1048908,3831670
2023-04-08,2023,4,8,chokepoint6,Strait of Hormuz,16,16,6,2,67,40,107,405814,474224,28204,2283,3682520,910526,4593047
2023-04-09,2023,4,9,chokepoint6,Strait of Hormuz,15,18,3,3,82,39,121,394693,562039,43314,7843,3630071,1007891,4637963
2023-04-10,2023,4,10,chokepoint6,Strait of Hormuz,13,24,5,2,63,44,107,286202,872333,58761,0,2709065,1217297,3926363
2023-04-11,2023,4,11,chokepoint6,Strait of Hormuz,22,22,7,7,63,58,121,560211,841659,20552,16065,3748348,1438488,5186836
2023-04-12,2023,4,12,chokepoint6,Strait of Hormuz,12,12,6,4,67,34,101,335408,481543,36954,9479,2841980,863386,3705367
2023-04-13,2023,4,13,chokepoint6,Strait of Hormuz,20,16,4,0,70,40,110,381948,502792,39543,0,3918245,924283,4842528
2023-04-14,2023,4,14,chokepoint6,Strait of Hormuz,15,14,8,2,65,39,104,450859,594290,62637,4615,2951958,1112402,4064361
2023-04-15,2023,4,15,chokepoint6,Strait of Hormuz,19,9,5,1,56,34,90,493025,591317,8656,0,2201418,1092999,3294417
2023-04-16,2023,4,16,chokepoint6,Strait of Hormuz,13,18,0,3,57,34,91,280593,580313,0,15785,3906170,876692,4782863
2023-04-17,2023,4,17,chokepoint6,Strait of Hormuz,20,13,2,3,56,38,94,540037,395799,20858,4434,2888816,961130,3849947
2023-04-18,2023,4,18,chokepoint6,Strait of Hormuz,17,12,8,4,62,41,103,523865,270818,47736,11471,3726015,853892,4579908
2023-04-19,2023,4,19,chokepoint6,Strait of Hormuz,11,17,8,4,70,40,110,307077,614877,25775,3414,2813249,951143,3764393
2023-04-20,2023,4,20,chokepoint6,Strait of Hormuz,20,28,5,2,102,55,157,344639,814550,21660,8124,4694748,1188975,5883724
2023-04-21,2023,4,21,chokepoint6,Strait of Hormuz,23,22,6,4,67,55,122,679018,648965,39121,7982,3901962,1375088,5277051
2023-04-22,2023,4,22,chokepoint6,Strait of Hormuz,33,23,5,1,83,62,145,879870,928993,17092,4895,4278590,1830851,6109442
2023-04-23,2023,4,23,chokepoint6,Strait of Hormuz,20,19,6,1,63,46,109,513277,678129,44075,0,3948958,1235481,5184439
2023-04-24,2023,4,24,chokepoint6,Strait of Hormuz,20,14,3,3,66,40,106,391244,459924,4002,3164,2749883,858336,3608219
2023-04-25,2023,4,25,chokepoint6,Strait of Hormuz,19,14,4,3,66,40,106,445782,565333,51966,0,3448866,1063082,4511949
2023-04-26,2023,4,26,chokepoint6,Strait of Hormuz,15,9,3,4,52,31,83,332327,270499,56114,1931,2273157,660873,2934030
2023-04-27,2023,4,27,chokepoint6,Strait of Hormuz,20,17,3,3,58,43,101,662095,475508,6961,1586,3105954,1146152,4252106
2023-04-28,2023,4,28,chokepoint6,Strait of Hormuz,23,11,4,3,60,41,101,597001,397855,6647,1586,2088589,1003091,3091681
2023-04-29,2023,4,29,chokepoint6,Strait of Hormuz,16,14,4,2,71,36,107,565836,407771,20458,0,3881570,994067,4875637
2023-04-30,2023,4,30,chokepoint6,Strait of Hormuz,15,8,3,4,55,30,85,628103,359882,5578,5895,1978027,999460,2977488
2023-05-01,2023,5,1,chokepoint6,Strait of Hormuz,15,16,6,3,62,40,102,274587,543358,25786,0,4430493,843732,5274225
2023-05-02,2023,5,2,chokepoint6,Strait of Hormuz,21,17,5,1,58,44,102,667682,904472,31986,0,2652509,1604142,4256651
2023-05-03,2023,5,3,chokepoint6,Strait of Hormuz,12,16,3,3,58,34,92,468731,700852,16705,3706,3167245,1189995,4357241
2023-05-04,2023,5,4,chokepoint6,Strait of Hormuz,12,18,3,4,50,37,87,383812,636022,5452,0,2095988,1025287,3121276
2023-05-05,2023,5,5,chokepoint6,Strait of Hormuz,19,17,1,5,55,42,97,577220,590615,1415,2120,2925990,1171372,4097363
2023-05-06,2023,5,6,chokepoint6,Strait of Hormuz,26,24,7,4,70,61,131,625388,1078776,36201,5195,4169023,1745561,5914584
2023-05-07,2023,5,7,chokepoint6,Strait of Hormuz,25,16,12,3,69,56,125,709795,845225,104704,3493,3110076,1663218,4773295
2023-05-08,2023,5,8,chokepoint6,Strait of Hormuz,26,21,8,1,70,56,126,704371,611794,61299,0,4137207,1377465,5514673
2023-05-09,2023,5,9,chokepoint6,Strait of Hormuz,19,14,3,0,62,36,98,582933,609049,13632,0,3052630,1205614,4258245
2023-05-10,2023,5,10,chokepoint6,Strait of Hormuz,20,21,4,4,69,49,118,822929,923213,25345,11384,3634358,1782873,5417231
2023-05-11,2023,5,11,chokepoint6,Strait of Hormuz,23,20,6,2,83,51,134,595077,961631,45200,0,4456709,1601908,6058617
2023-05-12,2023,5,12,chokepoint6,Strait of Hormuz,14,16,4,2,72,36,108,486477,496780,21416,0,3089835,1004674,4094509
2023-05-13,2023,5,13,chokepoint6,Strait of Hormuz,22,18,3,4,76,47,123,373794,847611,5497,4278,3252860,1231182,4484042
2023-05-14,2023,5,14,chokepoint6,Strait of Hormuz,21,22,4,1,70,48,118,592155,701420,19448,0,3825284,1313024,5138309
2023-05-15,2023,5,15,chokepoint6,Strait of Hormuz,15,17,4,3,58,39,97,322015,312348,34365,6298,2780462,675027,3455489
2023-05-16,2023,5,16,chokepoint6,Strait of Hormuz,11,17,2,3,36,33,69,286710,614975,569,7789,1608645,910045,2518691
2023-05-17,2023,5,17,chokepoint6,Strait of Hormuz,16,19,3,2,61,40,101,420859,661520,18746,7001,4067596,1108126,5175722
2023-05-18,2023,5,18,chokepoint6,Strait of Hormuz,20,21,5,5,74,51,125,456196,436199,24659,14228,3358580,931284,4289864
2023-05-19,2023,5,19,chokepoint6,Strait of Hormuz,23,20,3,2,86,48,134,582876,670817,10515,0,3475121,1264209,4739330
2023-05-20,2023,5,20,chokepoint6,Strait of Hormuz,20,14,5,2,91,41,132,385046,800568,48491,6492,4065420,1240599,5306019
2023-05-21,2023,5,21,chokepoint6,Strait of Hormuz,6,8,0,1,47,15,62,164321,326623,0,6556,1769237,497501,2266738
2023-05-22,2023,5,22,chokepoint6,Strait of Hormuz,21,13,5,6,66,45,111,292356,324061,17077,24476,2459435,657971,3117406
2023-05-23,2023,5,23,chokepoint6,Strait of Hormuz,22,11,9,2,59,44,103,562355,247818,32552,7054,1125285,849780,1975065
2023-05-24,2023,5,24,chokepoint6,Strait of Hormuz,20,10,1,3,63,34,97,577570,237617,4285,0,2378560,819473,3198033
2023-05-25,2023,5,25,chokepoint6,Strait of Hormuz,18,19,6,0,64,43,107,560821,584802,21256,0,2814457,1166880,3981338
2023-05-26,2023,5,26,chokepoint6,Strait of Hormuz,20,21,6,2,69,49,118,534279,677528,42929,0,2448965,1254737,3703703
2023-05-27,2023,5,27,chokepoint6,Strait of Hormuz,18,17,2,4,65,41,106,467370,705090,1509,5708,2617777,1179679,3797457
2023-05-28,2023,5,28,chokepoint6,Strait of Hormuz,17,15,5,1,50,38,88,441728,435116,28214,2205,2109274,907264,3016539
2023-05-29,2023,5,29,chokepoint6,Strait of Hormuz,19,23,7,1,68,50,118,639238,680298,85363,0,3550259,1404899,4955159
2023-05-30,2023,5,30,chokepoint6,Strait of Hormuz,17,12,2,1,64,32,96,292867,438331,3843,2409,3035054,737452,3772506
2023-05-31,2023,5,31,chokepoint6,Strait of Hormuz,27,12,6,5,74,50,124,956281,321814,6073,18802,3542017,1302971,4844988
2023-06-01,2023,6,1,chokepoint6,Strait of Hormuz,19,6,6,1,66,32,98,417381,204354,5496,0,2944251,627232,3571483
2023-06-02,2023,6,2,chokepoint6,Strait of Hormuz,14,26,7,0,53,47,100,364855,845914,41758,0,3022194,1252529,4274723
2023-06-03,2023,6,3,chokepoint6,Strait of Hormuz,6,8,4,0,27,18,45,113699,233019,6679,0,2130474,353397,2483872
2023-06-04,2023,6,4,chokepoint6,Strait of Hormuz,12,16,4,0,70,32,102,362597,627538,7576,0,4256025,997711,5253736
2023-06-05,2023,6,5,chokepoint6,Strait of Hormuz,24,28,8,1,78,61,139,563407,1247716,30764,0,4930552,1841888,6772440
2023-06-06,2023,6,6,chokepoint6,Strait of Hormuz,23,23,4,3,62,53,115,491940,823962,19753,3951,2797651,1339609,4137260
2023-06-07,2023,6,7,chokepoint6,Strait of Hormuz,11,17,1,2,62,31,93,421918,454730,79,3238,3065390,879966,3945356
2023-06-08,2023,6,8,chokepoint6,Strait of Hormuz,19,18,4,2,64,43,107,354257,557500,22571,3931,2966420,938261,3904682
2023-06-09,2023,6,9,chokepoint6,Strait of Hormuz,18,21,6,4,80,49,129,507339,705398,26962,15371,3660981,1255071,4916052
2023-06-10,2023,6,10,chokepoint6,Strait of Hormuz,22,17,4,0,65,43,108,585945,500397,34522,0,3507066,1120865,4627932
2023-06-11,2023,6,11,chokepoint6,Strait of Hormuz,13,24,4,1,68,42,110,320092,1121626,20889,5247,2781464,1467857,4249322
2023-06-12,2023,6,12,chokepoint6,Strait of Hormuz,9,15,6,2,37,32,69,105031,510678,32788,4529,2704129,653028,3357158
2023-06-13,2023,6,13,chokepoint6,Strait of Hormuz,10,8,7,1,33,26,59,336199,285084,22526,2164,2258120,645975,2904096
2023-06-14,2023,6,14,chokepoint6,Strait of Hormuz,19,11,3,7,43,40,83,459600,346530,579,0,2639941,806710,3446651
2023-06-15,2023,6,15,chokepoint6,Strait of Hormuz,19,13,3,1,61,36,97,667385,359859,13419,0,4441258,1040664,5481922
2023-06-16,2023,6,16,chokepoint6,Strait of Hormuz,12,13,1,1,65,27,92,521820,366050,12897,0,3837976,900768,4738744
2023-06-17,2023,6,17,chokepoint6,Strait of Hormuz,16,19,3,0,68,38,106,515721,681965,2900,0,2682588,1200586,3883174
2023-06-18,2023,6,18,chokepoint6,Strait of Hormuz,18,20,4,1,69,43,112,593348,886516,17976,446,3582741,1498288,5081029
2023-06-19,2023,6,19,chokepoint6,Strait of Hormuz,14,19,9,4,61,46,107,302596,491415,20349,10015,2556783,824377,3381160
2023-06-20,2023,6,20,chokepoint6,Strait of Hormuz,15,20,8,2,57,45,102,426839,953258,14729,6110,2050222,1400938,3451161
