date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity
2019-07-23,2019,7,23,chokepoint6,Strait of Hormuz,9,16,3,0,53,28,81,316756,927250,0,0,3018624,1244007,4262632
2019-07-24,2019,7,24,chokepoint6,Strait of Hormuz,13,11,3,2,50,29,79,374979,642477,30617,0,2638127,1048074,3686202
2019-07-25,2019,7,25,chokepoint6,Strait of Hormuz,8,14,5,2,44,29,73,179906,714479,27377,3185,1609281,924948,2534230
2019-07-26,2019,7,26,chokepoint6,Strait of Hormuz,15,13,4,2,50,34,84,621341,353771,11319,7997,2919789,994430,3914219
2019-07-27,2019,7,27,chokepoint6,Strait of Hormuz,10,9,3,1,48,23,71,359782,267248,14981,2302,2024114,644314,2668429
2019-07-28,2019,7,28,chokepoint6,Strait of Hormuz,17,13,3,1,49,34,83,630544,439550,8730,0,2217033,1078825,3295858
2019-07-29,2019,7,29,chokepoint6,Strait of Hormuz,14,25,4,1,50,44,94,436916,971943,45321,0,2320599,1454181,3774781
2019-07-30,2019,7,30,chokepoint6,Strait of Hormuz,5,17,3,0,33,25,58,159879,625397,7473,0,1314959,792750,2107710
2019-07-31,2019,7,31,chokepoint6,Strait of Hormuz,16,17,0,4,50,37,87,535214,450674,0,10398,3277422,996287,4273710
2019-08-01,2019,8,1,chokepoint6,Strait of Hormuz,16,16,4,5,60,41,101,543727,445301,19768,5132,2216142,1013929,3230071
2019-08-02,2019,8,2,chokepoint6,Strait of Hormuz,16,15,4,3,53,38,91,680883,551080,8222,6513,2380929,1246699,3627629
2019-08-03,2019,8,3,chokepoint6,Strait of Hormuz,14,10,3,3,37,30,67,726558,496558,8415,3362,1940633,1234894,3175528
2019-08-04,2019,8,4,chokepoint6,Strait of Hormuz,8,9,5,1,45,23,68,304992,182458,50774,0,2202869,538225,2741094
2019-08-05,2019,8,5,chokepoint6,Strait of Hormuz,10,13,1,1,55,25,80,322855,320351,15967,1679,2409133,660853,3069987
2019-08-06,2019,8,6,chokepoint6,Strait of Hormuz,16,21,2,3,62,42,104,415578,538302,17882,1969,2573836,973732,3547568
2019-08-07,2019,8,7,chokepoint6,Strait of Hormuz,16,25,5,4,64,50,114,370780,883883,28987,5664,2802108,1289315,4091424
2019-08-08,2019,8,8,chokepoint6,Strait of Hormuz,15,15,8,5,62,43,105,339303,418639,62956,12184,2721768,833083,3554852
2019-08-09,2019,8,9,chokepoint6,Strait of Hormuz,13,13,6,1,42,33,75,563963,302679,28954,0,1992237,895598,2887835
2019-08-10,2019,8,10,chokepoint6,Strait of Hormuz,9,23,3,1,65,36,101,395437,563775,16514,0,3580551,975727,4556279
2019-08-11,2019,8,11,chokepoint6,Strait of Hormuz,18,22,6,2,52,48,100,742303,665598,16554,0,3004326,1424455,4428782
2019-08-12,2019,8,12,chokepoint6,Strait of Hormuz,17,16,3,2,52,38,90,548387,742092,6808,0,3140789,1297288,4438078
2019-08-13,2019,8,13,chokepoint6,Strait of Hormuz,15,16,1,1,56,33,89,470638,378593,741,0,2929389,849973,3779363
2019-08-14,2019,8,14,chokepoint6,Strait of Hormuz,12,16,0,1,38,29,67,395149,466473,0,0,1521133,861623,2382756
2019-08-15,2019,8,15,chokepoint6,Strait of Hormuz,16,23,3,2,45,44,89,554034,695506,36862,3743,2955125,1290147,4245273
2019-08-16,2019,8,16,chokepoint6,Strait of Hormuz,14,11,2,2,50,29,79,700994,376771,42774,5270,2968267,1125811,4094078
2019-08-17,2019,8,17,chokepoint6,Strait of Hormuz,14,13,5,1,65,33,98,517151,341281,46430,0,3586447,904863,4491311
2019-08-18,2019,8,18,chokepoint6,Strait of Hormuz,10,8,7,1,52,26,78,333686,368612,43342,3788,2697737,749430,3447167
2019-08-19,2019,8,19,chokepoint6,Strait of Hormuz,13,15,2,5,41,35,76,594413,526231,14006,12039,1773017,1146690,2919707
2019-08-20,2019,8,20,chokepoint6,Strait of Hormuz,13,14,2,4,46,33,79,543930,542001,7459,14102,2833878,1107493,3941372
2019-08-21,2019,8,21,chokepoint6,Strait of Hormuz,8,19,2,2,63,31,94,305885,545037,17199,6618,2464571,874740,3339312
2019-08-22,2019,8,22,chokepoint6,Strait of Hormuz,11,15,3,0,52,29,81,420749,420017,6039,0,2069888,846805,2916694
2019-08-23,2019,8,23,chokepoint6,Strait of Hormuz,14,18,5,3,48,40,88,498542,849421,42459,2013,2201081,1392437,3593518
2019-08-24,2019,8,24,chokepoint6,Strait of Hormuz,20,17,3,1,52,41,93,810867,473904,7368,3467,3069349,1295607,4364957
2019-08-25,2019,8,25,chokepoint6,Strait of Hormuz,17,17,2,5,55,41,96,477018,593552,7086,11165,3403172,1088823,4491996
2019-08-26,2019,8,26,chokepoint6,Strait of Hormuz,14,16,4,2,62,36,98,560896,525270,5434,2081,2768212,1093682,3861895
2019-08-27,2019,8,27,chokepoint6,Strait of Hormuz,15,19,3,1,50,38,88,406497,655839,2324,0,2985158,1064660,4049818
2019-08-28,2019,8,28,chokepoint6,Strait of Hormuz,9,15,1,1,49,26,75,368243,597758,0,0,2844002,966002,3810005
2019-08-29,2019,8,29,chokepoint6,Strait of Hormuz,16,16,10,0,63,42,105,598693,400052,58212,0,3119058,1056958,4176016
2019-08-30,2019,8,30,chokepoint6,Strait of Hormuz,11,17,8,1,60,37,97,542887,477166,45571,287,2415249,1065912,3481162
2019-08-31,2019,8,31,chokepoint6,Strait of Hormuz,15,9,1,2,46,27,73,631984,320092,4018,7540,2125247,963635,3088883
2019-09-01,2019,9,1,chokepoint6,Strait of Hormuz,19,18,3,2,49,42,91,508838,411118,10088,3453,2615233,933497,3548731
2019-09-02,2019,9,2,chokepoint6,Strait of Hormuz,10,15,2,2,43,29,72,365599,508042,4018,2983,2935168,880644,3815812
2019-09-03,2019,9,3,chokepoint6,Strait of Hormuz,18,19,1,2,43,40,83,491559,569363,6807,0,3489396,1067730,4557127
2019-09-04,2019,9,4,chokepoint6,Strait of Hormuz,16,24,1,1,53,42,95,466148,529106,3841,0,3801869,999097,4800967
2019-09-05,2019,9,5,chokepoint6,Strait of Hormuz,12,21,3,3,57,39,96,325952,837303,14002,6223,3709062,1183481,4892543
